description,img_link,type,height,width,site_link,thumbnail
Dog with ham on its face tricks people on Facebook into praying for ...,https://static.independent.co.uk/s3fs-public/thumbnails/image/2015/12/31/08/hamdog-stephen-roseman-facebook-joke.jpg?w968h681,jpg,681,968,https://www.independent.co.uk/news/world/americas/dog-with-ham-on-its-face-tricks-people-on-facebook-into-praying-for-burns-recovery-a6791511.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdHFCV4HKmgg8mKZugYjE0466SydEmoY5KE45fXy5QDXjiRLlc
Lucky dog gets 3D-printed skull plate after tumor removal - CNET,https://cnet2.cbsistatic.com/img/oh4P9uWW4QnO2ZCzpHuZ7JEWoNA=/970x0/2018/09/25/45c09694-bf9f-433e-8c9b-f3a185589907/patches.jpg,jpg,647,970,https://www.cnet.com/news/lucky-dog-gets-3d-printed-skull-plate-after-tumor-removal/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoa7XXwsIFkN_lrPAG7PLKwQPCi7HiM0pU6URhqZdlBIIl1U8jLw
How Does a Euthanasia Drug Keep Ending Up in Dog Food?,"https://i.kinja-img.com/gawker-media/image/upload/s--pRSisy9n--/c_scale,f_auto,fl_progressive,q_80,w_800/qcsny75ocrnawafhs8pj.jpg",jpg,450,800,https://gizmodo.com/how-does-a-euthanasia-drug-keep-ending-up-in-dog-food-1823186412,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvkkt-0oPGOBykm7agEAVkAUO17cIriho9lrhZeIBcF68MrD3p
Meet 15 of the Cutest Dog Breeds in the World | MyDomaine,https://cdn.cliqueinc.com/cache/posts/254475/cutest-dogs-in-the-world-254475-1525794431641-main.700x0c.jpg,jpg,1050,700,https://www.mydomaine.com/cutest-dogs-in-the-world,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmZh82Q9ictT0vRilcLiSN7WLS6RJDTPMvn5gVlLowobhXN-F9ow
"Books Where the Dog Dies, Rewritten So the Dog Doesn't Die",https://cdn-images-1.medium.com/max/2000/1*Jv6hc4T2I4h7_yRwH-7zCQ.jpeg,jpeg,1333,2000,https://electricliterature.com/books-where-the-dog-dies-rewritten-so-the-dog-doesnt-die-b73f497d9f47,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTl1t7BXnO9j5Km4hH-JCzcPhzxnIy0w1dDA6BD9ZeY5-Tt5rDH3w
Foster A Dog,https://sosd.org.sg/wp-content/uploads/2017/09/Batman.jpg,jpg,320,500,https://sosd.org.sg/foster-a-dog/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwGLxWoJGXpTopZrguYrUd59lwBEOKqWCL-P3pMLsMq3wOyNU7
The Most Unusual Dog Breeds - TheStreet,https://s.thestreet.com/files/tsc/v2008/photos/contrib/uploads/b841b269-b052-11e8-89cc-4f50b26c3174_600x400.jpg,jpg,400,600,https://www.thestreet.com/personal-finance/the-most-unusual-dog-breeds-14701096,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQf4MDvVdqUusSaVXX12I8z5RzZYrOL0xl9q9jilHpRXHJwp1D4rA
Dog yoga is apparently a thing now,https://thenypost.files.wordpress.com/2018/04/dog-yoga-is-a-thing.jpg?quality=90&strip=all&w=618&h=410&crop=1,jpg,410,618,https://nypost.com/2018/04/02/dog-yoga-is-apparently-a-thing-now/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGE_9SpvhF50m4TdcCIdT11KaczX-i3fJ82lHnq-Ve5Q43kmaXqA
"The World's Ugliest Dog Is Dead, Probably Not Of Ugliness","https://i.kinja-img.com/gawker-media/image/upload/s--6pD6s0d2--/c_scale,f_auto,fl_progressive,q_80,w_800/sy02g4l4fdh4el2zq9gh.jpg",jpg,521,800,https://deadspin.com/the-worlds-ugliest-dog-is-dead-probably-not-of-uglines-1827519789,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQH4t_G8svd0Qem0ZNzkZfZ40XE5mh6guC2ps3XATcqmyIEprN1
8 Ways to Say 'I Love You' in Dog Language | The Dog People by Rover.com,https://www.rover.com/blog/wp-content/uploads/2016/12/husky-dog-i-love-you.jpg,jpg,370,669,https://www.rover.com/blog/show-love-dog-language/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwcHlpRHygzSvwOCX9zpk2AKEdKL8oRv-l4datkykNYXP8MQ3VcA
The 10 Most Active and Adventurous Dog Breeds,https://www.mensjournal.com/wp-content/uploads/gettyimages-583596559-e274095b-2e49-481a-b1d1-de6bfee9e588.jpg,jpg,3490,3710,https://www.mensjournal.com/features/the-top-10-adventure-dogs-w480490/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRL5nPT5IcvXtYqxU_ZhoiR5uNhArshnBqG1U6f9l01-rMjgvvNYA
List of Dog Breeds | Petfinder,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/09/dog-landing-hero-sm.jpg?bust=1536935086,jpg,597,537,https://www.petfinder.com/dog-breeds/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTB8dZm8bJDPfgMovyZmyJPliV9KHH6vwNL11uRrAlzOnvoR11F
Lumps and Bumps on Dogs | RSPCA Pet Insurance,https://www.rspcapetinsurance.org.au/getattachment/2fff78ce-c1be-4920-a0e3-41bfa8d405b0/canine-guide-lumps-bumps-on-dogs.aspx,aspx,250,800,https://www.rspcapetinsurance.org.au/pet-care/dog-care/canine-guide-lumps-bumps-on-dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQww_eyqwXSmczFB5bd7QhvPBhbUSFG2aPg-Wv-ETsRykmERtgg
Simply Nourish™ Dog Food & Puppy Food | PetSmart,https://s7d2.scene7.com/is/image/PetSmart/BRHERO-SimplyNourish-DOG-20160818?$PB0701$,,450,1240,https://www.petsmart.com/featured-brands/simply-nourish/dog/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_FNpSRsfm8CELlo2XHYaOcxVWDnfVwih7yYDs8wMxN3FNiit_
One Human Year Does Not Equal Seven Dog Years | Smart News | Smithsonian,https://thumbs-prod.si-cdn.com/eLzrfHH0vTmi-KvJg41AtpQxYsE=/800x600/filters:no_upscale()/https://public-media.smithsonianmag.com/filer/6d/4e/6d4ee57a-247d-46a5-919b-c57ef07c2dd3/dog.jpg,jpg,600,800,https://www.smithsonianmag.com/smart-news/one-human-year-does-not-equal-seven-dog-years-180952929/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkCeETsiqBT7vbigDgWoTVBj1h9J1Ps9Z6zJF9tHxrAVZ5IPn7
Massachusetts mayor takes dog dying of cancer on cross-country road ...,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/11/640/320/1862/1048/dog-road-trip-2.jpg?ve=1&tl=1?ve=1&tl=1,jpg,1048,1862,https://www.foxnews.com/lifestyle/massachusetts-mayor-takes-dog-dying-of-cancer-on-cross-country-road-trip,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKEiEcACDF9LFFzOlY3bdLJqLuBIXO4TiyH4N0QEmoUksG3R_j
Dog advice | How to look after your dog | Blue Cross,https://www.bluecross.org.uk/sites/default/files/styles/thumbnail_wide/public/assets/images/dog%20sick.jpg?itok=db-tJfbC,jpg,320,580,https://www.bluecross.org.uk/advice/dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBab5V-Axb0RL0MK-kfJM4dsICB-0urWuwQmzRpIYO1APLLA-DfA
Do you look like your dog? Canine-human lookalikes in pictures | Art ...,https://media.guim.co.uk/6989c50779ebf93398806073b9827c1e8bfeadf3/0_0_3345_4460/1500.jpg,jpg,2000,1500,https://www.theguardian.com/artanddesign/2018/sep/10/do-you-look-like-your-dog-canine-human-lookalikes-in-pictures,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRV2NrINQjZBhACmVYeIL9guwONk-yy9menXjHHob646490n_id
Utah police dog dies after ingesting foxtail grass - The Salt Lake ...,https://www.sltrib.com/resizer/b5oRhr_ppQAfG0mO6GC-fNJYAYY=/0x600/smart/filters:quality(86)/arc-anglerfish-arc2-prod-sltrib.s3.amazonaws.com/public/SU3PKC5W7ZBIBDYSA5PXGKHXPU.JPG,jpg,600,462,https://www.sltrib.com/news/2018/08/10/utah-police-dog-dies/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFZ0jqwBSy3DPuDpLTrCwhg1kkeA003238QsO1fouhosI-FemK
dog - Wiktionary,https://upload.wikimedia.org/wikipedia/commons/6/60/YellowLabradorLooking.jpg,jpg,577,700,https://en.wiktionary.org/wiki/dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1-3aJKsz9KJMPEQM0JB1OrSucOylR7OYl77_zudx4TrB8W0Di
8 Toxic Foods for Dogs - Consumer Reports,https://article.images.consumerreports.org/prod/content/dam/CRO%20Images%202018/Health/March/CR-Health-InlineHero-toxic-food-for-dogs-0318,,674,1199,https://www.consumerreports.org/pets/toxic-foods-for-dogs/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4ttD3JNeYqoTTcsZQI6oGkh86mPiA_H6bLxTVoAcFiC2pUhK1
Beach Puppy Dog · Free photo on Pixabay,https://cdn.pixabay.com/photo/2016/11/01/23/38/beach-1790049_960_720.jpg,jpg,639,960,https://pixabay.com/en/beach-puppy-dog-finnishlapphund-1790049/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRaJk_Fr-hmkuAMXa7sAewOVmTbU1ZgwFcRJp1u0cVeeFjNyO-
Probiotics for Dogs: What Are They & How They Can Help,https://www.virtuousdogs.com/wp-content/uploads/2017/05/Dog-9.jpeg,jpeg,1365,2048,https://www.virtuousdogs.com/probiotics-for-dogs/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS41IzZLcmca4AWodQHp0u1lN8Kn0kG64-071IC5Gu6NW4vVi4sWQ
Dogs and Puppies | RSPCA NSW,https://www.rspcansw.org.au/wp-content/uploads/2017/08/50_a-feature_dogs-and-puppies_mobile.jpg,jpg,800,1200,https://www.rspcansw.org.au/what-we-do/adoptions/dogs-and-puppies/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT11gTAdAqa096O_Nu1SnAAr6NpCEY2O5McU-ftbBfBD97j0VI_8w
5 Clever Ways to Save Your Dog's Life - Fetch! Pet Care,https://www.fetchpetcare.com/wp-content/uploads/2018/09/04-How-to-Pick-the-Best-Dog-Breed-for-You_141945937-Olena-Brodetska-760x506.jpg,jpg,506,760,https://www.fetchpetcare.com/blog/5-clever-ways-save-dogs-life/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNlS4V9surdEN80S9sjhDNuaVJToHVTe2frRM8dogHpqb3klVTFQ
Unique Dog Names - Over 300 Fun And Unusual Inspiring Ideas,https://gfnc1kn6pi-flywheel.netdna-ssl.com/wp-content/uploads/2017/10/unique.jpg,jpg,500,800,https://thehappypuppysite.com/unique-dog-names/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkFuS-9o5ur7086pKw_wBBjRR5mEs3Gzl4P5YvvmHN7PzIqrGv
The Most Popular Names for the 5 Most Popular Dog Breeds | Mental Floss,https://images.mentalfloss.com/sites/default/files/styles/mf_image_16x9/public/558828-istock-865223918.jpg?itok=vl5kZJ_A&resize=1100x1100,jpg,618,1100,http://mentalfloss.com/article/558828/most-popular-names-5-most-popular-dog-breeds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTd6U-M7ms837Wbf1nlPxNLUIam3t7IgawxJIebQAP7J8dDaSUU
"Welcome To Alpha Dog Pet Center | Pet Supplies, Training Classes ...",https://86cb8127dc14737f5057-7c0671222953158607ea93d5febd68b4.ssl.cf1.rackcdn.com/747/assets/responsive/350000/350899/dog.jpg,jpg,400,700,https://alphadogpets.com/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwNUtm_juFUKbvwv1ciLdaAYlRUluSKYAlxx-ilQEMrR2A3i3X
Can you identify a dog's breed by its looks? This team wants to know ...,https://www.sciencemag.org/sites/default/files/styles/inline__450w__no_aspect/public/dogbreed_16x9.jpg?itok=UZ1-swsx,jpg,253,450,https://www.sciencemag.org/news/2018/04/can-you-identify-dog-s-breed-its-looks-team-wants-know,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSi1c7iBZ8_zuDa1k7cGchaEkh5YvhkPsKQUkfSa8cMjUKI5NIvbw
Signs Your Dog Is Secretly Mad at You | Reader's Digest,https://www.rd.com/wp-content/uploads/2018/04/shutterstock_693756292.jpg,jpg,667,1000,https://www.rd.com/advice/pets/signs-your-dog-is-mad/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvb_ZBj9bBr3CMVXO2Tm7R6ZB0jrGMpv51fI6dqc8TJm4zalrZIA
Fun Ways to Work Out With Your Dog - Health,https://cdn-img.health.com/sites/default/files/styles/medium_16_9/public/migration/img/web/2015/07/dog-workout-opener-400x400.jpg?itok=kAnl65Nb,jpg,720,1280,"https://www.health.com/health/gallery/0,,20938047,00.html",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlTjJ2TPtQdPO_PMCvcuRvZi2xS3GzS84bEjWVfodrZF1eaIpiCg
Florida neighbours battle over custody of dog in court | Canoe,https://postmediacanoe.files.wordpress.com/2018/04/blacklab1000.jpg,jpg,750,1000,https://canoe.com/news/weird/dog-fight-florida-neighbours-battle-over-custody-of-black-lab-in-court,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-XM7rmeL5M9_mB1d0kNIiB6FYGWKsYAaNnPsSfUW_UpVGPlNQ6A
Dog news: Puppy dumped in handbag tied to charity shop door | Nature ...,https://cdn.images.express.co.uk/img/dynamic/128/590x/secondary/radley-puppy-1515566.jpg?r=1537370408745,jpg,780,590,https://www.express.co.uk/news/nature/1019883/dog-news-puppy-abandoned-abused-charity-shop,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLJ7nNbQxeOSdvZ4HBoRPsKoYDtX4ReE417MzaG_Mfwii_8GI0ZQ
"National Dog Show-Bernese Mountain Dog, 2017 Working Group | NBC Sports",https://www.nbcsports.com/sites/nbcsports.com/files/2017/11/28/nds_working_bernesemoutaindog_171120.jpg,jpg,1080,1920,https://www.nbcsports.com/video/national-dog-show-bernese-mountain-dog-2017-working-group,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-bs8fE-LSG91hhxncllWWmeCUBWpP9f6ez05hL7f8Dh0TsnsmYA
DogLost - Reuniting Lost Dogs With Their Owners,http://www.doglost.co.uk/includes/images/dogs-homepage.jpg,jpg,537,1175,http://www.doglost.co.uk/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6gUsRTpcsyobD1Erz-66WlKjWb4h4q5w04gC1Zh1YColYdRrC
Researcher explores close prehistoric relationship between humans ...,https://3c1703fe8d.site.internapcdn.net/newman/gfx/news/hires/2016/researcherex.jpg,jpg,592,980,https://phys.org/news/2016-03-explores-prehistoric-relationship-humans-dogs.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2ujVO6ro33W8XssJRhtNaaYkqnUMNQsKlseuglq-67nJ4sXoB
The Hater's Guide To Your Dog,"https://i.kinja-img.com/gawker-media/image/upload/s--ffMFIHYb--/c_scale,f_auto,fl_progressive,q_80,w_800/rlr31mylzwtz43nrkurr.jpg",jpg,449,800,https://theconcourse.deadspin.com/the-hater-s-guide-to-your-dog-1829080703,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTajsh1JwHRCJskazGD1FOq7KOs1ZeM3pm1VQmCeKW-NXY4dWkE4w
A Dog's Purpose (2017) - IMDb,https://m.media-amazon.com/images/M/MV5BNDQ4NjkxNzgzN15BMl5BanBnXkFtZTgwMjAzODQ4OTE@._V1_.jpg,jpg,2000,1263,https://www.imdb.com/title/tt1753383/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8RGeVKNpsLX_9Xx-3jdKc5iYntcxYw8STxqMSQbMmJ4q1DkTI
"Meet ""Stuckie"" — The Mummified Dog Who Has Been Stuck In A Tree For ...",https://allthatsinteresting.com/wordpress/wp-content/uploads/2018/01/stuckie-dog.jpg,jpg,477,900,https://allthatsinteresting.com/stuckie-mummy-dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4o8y3gPiTgG2o3Jc8LGAZ_2QIP-T6oYCWjiwUmgEWnIYOgUJi
My Dogs HD Wallpaper Cute Dog Puppy New Tab - Chrome Web Store,https://lh3.googleusercontent.com/fLDZx6Cd11Aii1pqKBPNAp7_894sXV7how1h1CgmINufoLcu6zvwFzTAdk5v38-tm13QELli=w640-h400-e365,,400,640,https://chrome.google.com/webstore/detail/my-dogs-hd-wallpaper-cute/bhmpnibiagopmobamhlgaghkojlcjnfn,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5unNc5HIr3w8smPDlOgRldhTUe9TZI6MnH-SO6HOHnKzHAdo2
